zip,name,latitude,longitude
1742,"Sint-Katherina-Lombeek",50.8731,4.1536
1745,"Mazenzele",50.9425,4.1722
1750,"Sint-Martens-Lennik",50.8116,4.1697
1755,"Gooik",50.7944,4.1138
1760,"Roosdaal",50.8333,4.0833
1761,"Borchtlombeek",50.8479,4.1388
1770,"Liedekerke",50.8689,4.0874
1780,"Wemmel",50.9081,4.3061
1785,"Hamme",50.9209,4.283
1790,"Hekelgem",50.9057,4.1077
1800,"Peutie",50.93,4.4519
1820,"Melsbroek",50.9156,4.4798
1830,"Machelen",50.9106,4.4417
1831,"Diegem",50.8973,4.4335
1840,"Malderen",51.0208,4.2464
1850,"Grimbergen",50.9341,4.3721
1851,"Humbeek",50.968,4.3796
1852,"Beigem",50.9491,4.3691
1853,"Strombeek-Bever",50.9104,4.3558
1860,"Meise",50.9393,4.3266
1861,"Wolvertem",50.9517,4.3096
1880,"Nieuwenrode",50.9796,4.3528
1910,"Berg",51.0079,4.3198
1930,"Zaventem",50.8837,4.473
1932,"Sint-Stevens-Woluwe",50.8684,4.452
1933,"Sterrebeek",50.8617,4.4938
1950,"Kraainem",50.8616,4.4695
1970,"Wezembeek-Oppem",50.8395,4.4943
1980,"Eppegem",50.9624,4.4551
1981,"Hofstade",50.9913,4.4923
1982,"Elewijt",50.9604,4.4968
3000,"Leuven",50.8796,4.7009
3001,"Heverlee",50.8643,4.696
3010,"Kessel Lo",50.8855,4.7372
3012,"Wilsele",50.8919,4.6977
3018,"Wijgmaal",50.9267,4.7021
3020,"Winksele",50.8986,4.6461
3040,"Huldenberg",50.7894,4.5831
3050,"Oud-Heverlee",50.8352,4.6642
3051,"Sint-Joris-Weert",50.8023,4.6526
3052,"Blanden",50.8262,4.7102
3053,"Haasrode",50.8317,4.7295
3054,"Vaalbeek",50.8262,4.6898
3060,"Bertem",50.864,4.6292
3061,"Leefdaal",50.8476,4.5894
3070,"Kortenberg",50.8898,4.5435
3071,"Erps-Kwerps",50.9012,4.5598
3078,"Everberg",50.8768,4.5698
3080,"Tervuren",50.8237,4.5142
3090,"Overijse",50.7744,4.5346
3110,"Rotselaar",50.953,4.7167
3111,"Wezemaal",50.9485,4.7554
3118,"Werchter",50.9731,4.7012
3120,"Tremelo",50.9923,4.7081
3128,"Baal",50.9955,4.7532
3130,"Betekom",50.9868,4.7819
3140,"Keerbergen",51.003,4.6343
3150,"Haacht",50.9774,4.6378
3190,"Boortmeerbeek",50.9793,4.5744
3191,"Hever",50.9954,4.5513
3200,"Aarschot",50.9871,4.8369
3201,"Langdorp",50.9956,4.8717
3202,"Rillaar",50.9738,4.8918
3210,"Lubbeek",50.8828,4.839
3211,"Binkom",50.8716,4.8841
3212,"Pellenberg",50.8724,4.7939
3220,"Sint-Pieters-Rode",50.9325,4.8225
3221,"Nieuwrode",50.95,4.8333
3270,"Scherpenheuvel-Zichem",51.0104,4.9749
3271,"Averbode",51.0289,4.9807
3272,"Messelbroek",50.9955,4.9366
3290,"Webbekom",50.9741,5.0403
3293,"Kaggevinne",50.9804,5.0189
3294,"Molenstede",51.004,5.013
3300,"Bost",50.8449,4.8131
3320,"Meldert",50.7881,4.8378
3321,"Outgaarden",50.7667,4.9193
3350,"Neerhespen",50.7922,5.0489
3360,"Opvelp",50.8102,4.7935
3370,"Neervelp",50.8216,4.8094
3380,"Bunsbeek",50.8417,4.9452
3381,"Kapellen",50.8859,4.9517
3384,"Attenrode",50.8778,4.9244
3390,"Tielt",50.9421,4.9051
3391,"Meensel-Kiezegem",50.8962,4.925
3400,"Overwinden",50.755,5.048
3401,"Walshoutem",50.7322,5.084
3404,"Neerlanden",50.778,5.0782
3440,"Budingen",50.8651,5.0985
3450,"Geetbets",50.8943,5.112
3454,"Rummen",50.8891,5.1652
3460,"Bekkevoort",50.9407,4.969
3461,"Molenbeek-Wersbeek",50.9195,4.9476
3470,"Ransberg",50.8749,5.0395
3471,"Hoeleden",50.8666,4.9854
3472,"Kersbeek-Miskom",50.8854,4.9958
3473,"Waanrode",50.9162,5.0048
3500,"Hasselt",50.9311,5.3378
3501,"Wimmertingen",50.8833,5.35
3510,"Spalbeek",50.9492,5.2239
3511,"Stokrooie",50.9664,5.2814
3512,"Stevoort",50.9186,5.2533
3520,"Zonhoven",50.9906,5.3682
3530,"Houthalen-Helchteren",51.0322,5.3785
3540,"Berbroek",50.9503,5.209
3545,"Zelem",50.9774,5.1069
3550,"Zolder",51.0246,5.3098
3560,"Linkhout",50.9678,5.1374
3570,"Alken",50.8755,5.3056
3580,"Beringen",51.0495,5.2261
3581,"Beverlo",51.0865,5.2185
3582,"Koersel",51.0591,5.2712
3583,"Paal",51.0399,5.1723
3590,"Diepenbeek",50.9077,5.4187
3600,"Genk",50.965,5.5008
3620,"Lanaken",50.8932,5.6468
3621,"Rekem",50.9224,5.6938
